YB,YB_long,YB_lat,8umphotom,12umphotom,24umphotom,70umphotom,8flag1,12flag1,24flag1,70flag1
ID Number,degree,degree,Jy,Jy,Jy,Jy,Saturated,Saturated,Saturated,Saturated
1375,33.6537698,-0.165333183,0.10755,0.07098,0.07674,2.76566,0,0,0,0
1376,33.65397537,0.157118465,0.31347,0.10941,0.21744,5.91581,0,0,0,0
1377,33.68048522,-0.01734179,0.50655,0.25788,0.99686,17.21151,0,0,0,0
1378,33.70563431,0.283593982,0.13086,0.07366,0.21676,4.76138,0,0,0,0
1379,33.71124683,0.134007651,0.14296,0.0865,0.70396,10.21484,0,0,0,0
1380,33.72593862,-0.425135407,0.09267,0.02834,0.04667,1.95199,0,0,0,0
1381,33.72662625,-0.118624428,0.15201,0.06947,0.25234,15.27843,0,0,0,0
1382,33.739533,0.347657551,0.15012,0.15291,1.8,8.74122,0,0,0,0
1383,33.74563374,0.610719361,0.05562,0.03199,0.02687,0.66627,0,0,0,0
1384,33.75216482,-0.064110407,0.17091,0.29523,2.99663,6.12256,0,0,0,0
1385,33.75531386,0.296896664,0.06917,0.09974,0.57008,3.15205,0,0,0,0
1386,33.76501356,0.036009606,0.61691,0.15748,0.30742,12.91892,0,0,0,0
1387,33.76747254,0.030909251,0.87771,0.31867,0.23526,13.13888,0,0,0,0
1388,33.77119126,-0.404690315,0.79325,0.20786,0.42646,10.14586,0,0,0,0
1389,33.80850508,-0.153119763,1.48158,0.9372,4.80306,90.94991,0,0,0,0
1390,33.81036074,-0.186687846,8.38011,6.05361,,736.58891,0,0,1,0
1391,33.83285959,-0.122724075,0.4317,0.21275,0.59957,11.94193,0,0,0,0
1392,33.87091963,0.057461901,0.51531,0.18034,0.39415,13.16982,0,0,0,0
1393,33.88347451,0.058296916,1.77365,0.88563,2.80395,78.2078,0,0,0,0
1394,33.9149335,0.107618537,8.12611,,,1070.19385,0,1,1,0
1395,33.97843389,-0.203140766,0.10037,0.0665,0.06366,1.52279,0,0,0,0
1396,33.98954445,-0.009981457,0.59946,,0.78695,12.78178,0,1,0,0
1397,33.99078653,-0.004199974,0.77022,,2.24513,41.45331,0,1,0,0
1398,34.02159512,0.233899188,0.55515,0.30039,0.21885,14.41895,0,0,0,0
1399,34.03516682,0.164174439,0.04857,0.0634,0.14562,2.51607,0,0,0,0
1400,34.04346843,0.053551092,0.44524,,2.7351,37.81744,0,1,0,0
1401,34.04990531,-0.297963765,4.97623,2.22252,7.46211,6.10947,0,0,0,0
1402,34.0515109,-0.145422177,0.08613,0.03918,0.08792,1.07932,0,0,0,0
1403,34.06687895,-0.596959255,0.19924,0.09154,0.12566,4.27143,0,0,0,0
1404,34.08882773,0.435794018,0.89419,1.61404,7.67554,66.45465,0,0,0,0
1405,34.09646691,0.01806835,0.36806,0.06141,2.32852,105.39873,0,0,0,0
1406,34.10269143,-0.026985486,1.74783,0.86834,5.44047,79.35252,0,0,0,0
1407,34.13245295,0.471285267,4.35326,4.94315,,315.21358,0,0,1,0
1408,34.15418534,0.031774536,0.0619,0.04408,0.1384,3.25955,0,0,0,0
1409,34.19665233,-0.591653252,3.02293,1.20886,11.79363,193.16551,0,0,0,0
1410,34.20252241,0.105132813,0.27417,0.21829,0.6655,13.53877,0,0,0,0
1411,34.26863896,-0.207595506,0.277,0.13834,0.44215,55.83215,0,0,0,0
1412,34.29854657,0.18185125,0.47604,0.22781,1.39733,12.45508,0,0,0,0
1413,34.31089058,-0.094628279,0.07054,0.03439,0.03866,0.53101,0,0,0,0
1414,34.3160817,0.009908025,0.27763,0.35775,0.19197,25.86306,0,0,0,0
1415,34.40295853,0.228011575,1.40361,1.1615,,307.59196,0,0,1,0
1416,34.41362099,-0.21545825,0.06493,0.01357,0.02429,1.72457,0,0,0,0
1417,34.4380631,0.060828055,0.33254,0.18531,0.34168,14.46863,0,0,0,0
1418,34.44341307,0.047270359,0.12007,0.06337,0.23589,4.73964,0,0,0,0
1419,34.45718667,0.008990535,0.16942,0.04029,0.15083,14.15004,0,0,0,0
1420,34.48817449,-0.177558836,0.21085,0.14065,0.07996,6.66103,0,0,0,0
1421,34.52508849,0.307439529,0.01834,0.00811,0.01377,0.93051,0,0,0,0
1422,34.56185338,-0.450263672,0.0363,0.0209,0.00441,1.36968,0,0,0,0
1423,34.59172723,0.243326725,0.41121,0.35543,3.19959,59.98439,0,0,0,0
1424,34.60177292,-0.412436185,0.19537,0.14988,0.4211,10.16129,0,0,0,0
1425,34.62402233,-0.130272339,1.3826,1.37147,6.20885,63.27261,0,0,0,0
1426,34.6278837,-0.025555191,0.68957,0.1466,0.60786,32.60873,0,0,0,0
1427,34.63278158,-0.023918423,0.21561,0.05557,0.31385,7.54991,0,0,0,0
1428,34.67758798,-0.109720809,0.93459,0.44967,2.29379,26.9584,0,0,0,0
1429,34.68082932,-0.501849613,1.07317,0.55166,0.57686,39.87969,0,0,0,0
1430,34.68497981,0.067445904,1.74965,1.58021,2.48328,101.71711,0,0,0,0
1431,34.69607929,-0.652951909,0.97508,1.46683,6.32304,169.41543,0,0,0,0
1432,34.69760777,-0.658028916,1.24284,0.31043,0.8136,30.70285,0,0,0,0
1433,34.75680025,0.024876815,2.16853,1.24297,6.91919,125.03552,0,0,0,0
1434,34.80175322,-0.255915937,0.73384,0.33633,0.57831,23.56846,0,0,0,0
1435,34.80512896,-0.921506252,0.05428,0.03461,0.03724,0.16232,0,0,0,0
1436,34.82255337,0.325879652,0.76066,0.31608,0.94428,25.83876,0,0,0,0
1437,34.86434777,0.034791998,0.09663,0.04432,0.12959,3.03159,0,0,0,0
1438,34.86542782,0.251668082,0.14419,0.08005,0.1575,10.48116,0,0,0,0
1439,34.90224458,0.068298541,0.15483,0.11259,0.10072,2.60247,0,0,0,0
1440,34.91038505,0.235092105,0.19788,0.0808,0.06775,3.63925,0,0,0,0
1441,34.93144784,0.014522385,0.19593,0.04556,0.0219,4.29771,0,0,0,0
1442,35.02044901,0.345020997,0.63054,0.27244,,9.62058,0,0,1,0
1443,35.03929637,-0.547664585,0.30026,0.11078,0.15069,7.55511,0,0,0,0
1444,35.04411623,0.327188321,1.44752,0.53552,4.2874,37.39879,0,0,0,0
1445,35.04558723,-0.448991138,0.17864,0.101,0.32799,4.96124,0,0,0,0
1446,35.05282279,-0.517938923,2.68361,2.72052,,155.06341,0,0,1,0
1447,35.09950087,-0.243245131,1.26547,0.83382,2.39735,68.06373,0,0,0,0
1448,35.1095569,0.075319495,1.68836,0.62937,1.1708,16.52125,0,0,0,0
1449,35.11154238,0.071544613,2.20194,0.79617,1.75437,27.70868,0,0,0,0
1450,35.13826818,-0.76155382,3.8728,3.7532,,96.4123,0,0,1,0
1451,35.13842743,0.802060196,0.34118,0.13769,0.75751,4.62412,0,0,0,0
1452,35.15099463,0.822993155,0.22538,0.10597,0.12198,2.45169,0,0,0,0
1453,35.17280414,-0.949074192,0.059,0.04156,0.06159,0.223,0,0,0,0
1454,35.24207193,-0.171626744,0.157,0.08969,0.17639,4.13639,0,0,0,0
1455,35.26135916,-0.052346802,0.08391,0.00995,0.02858,0.30713,0,0,0,0
1456,35.26640684,0.117866074,0.42164,0.23338,0.74341,13.59778,0,0,0,0
1457,35.34770171,0.347122829,0.46068,0.04476,0.21264,8.34158,0,0,0,0
1458,35.3579868,-0.75056896,0.25711,0.13007,0.06169,0.55311,0,0,0,0
1459,35.38672955,0.134357411,4.6321,1.10391,8.33992,6.73668,0,0,0,0
1460,35.39852451,0.024834015,0.64155,0.20784,0.75274,35.27556,0,0,0,0
1461,35.41153661,-0.843194604,0.90246,0.46363,0.52683,6.48622,0,0,0,0
1462,35.45185565,-0.294487464,0.83474,0.43036,5.22514,59.71612,0,0,0,0
1463,35.45631062,0.243386894,0.14467,0.03743,0.1255,3.60947,0,0,0,0
1464,35.46665725,0.137781246,13.39479,5.05655,,954.61368,0,0,1,0
1465,35.46989062,0.361566316,0.17369,0.07376,0.08984,3.51374,0,0,0,0
1466,35.4716443,-0.43632581,1.52187,2.67399,,25.07623,0,0,1,0
1467,35.48227304,-0.043198022,0.27673,0.10355,0.09839,4.97974,0,0,0,0
1468,35.48908394,-0.011039226,0.48942,0.17739,0.57988,11.30738,0,0,0,0
1469,35.49489582,-0.077074989,0.34001,0.11595,0.18157,12.7013,0,0,0,0
1470,35.51392671,-0.389364143,0.57229,0.28302,0.29051,11.1473,0,0,0,0
1471,35.51677631,-0.031022798,0.53045,0.2233,0.67595,30.26282,0,0,0,0
1472,35.52663208,-0.145399357,0.26487,0.08695,0.5083,15.75085,0,0,0,0
1473,35.54945546,-0.358344939,0.07378,0.03054,0.02286,1.55991,0,0,0,0
